,name,all_cols
5,r/therewasanattempt,2
18,r/pics,9
21,r/PublicFreakout,3
27,r/Piracy,12
28,r/nextfuckinglevel,12
36,r/meirl,12
40,r/ChatGPT,5
41,r/CombatFootage,12
54,r/TwoXChromosomes,10
70,r/HolUp,1
80,r/TwoHotTakes,12
86,r/NonCredibleDefense,12
88,r/feedthebeast,12
93,r/MaliciousCompliance,12
94,r/Fauxmoi,12
99,r/maybemaybemaybe,12
100,r/Whatcouldgowrong,2
104,r/pettyrevenge,3
106,r/BeAmazed,3
110,r/TrueOffMyChest,0
112,r/VALORANT,12
113,r/SquaredCircle,12
114,r/tearsofthekingdom,12
115,r/greentext,12
116,r/CrackWatch,12
119,r/deadbydaylight,12
121,r/teenagers,10
123,r/UFOs,12
129,r/Weird,4
132,r/Destiny,12
136,r/pathofexile,12
137,r/australia,6
138,r/OutOfTheLoop,12
140,r/bald,12
143,r/Amd,12
145,r/TaylorSwift,10
146,r/ATBGE,12
147,r/midjourney,7
149,r/StreetFighter,7
150,r/UberEATS,11
151,r/magicTCG,7
154,r/Overwatch,7
155,r/cats,10
156,r/de,6
159,r/nvidia,11
161,r/RoastMe,0
164,r/projectzomboid,12
165,r/blackdesertonline,7
166,r/jobs,4
169,r/unitedkingdom,6
170,r/Superstonk,12
172,r/StardewValley,12
177,r/Terraria,12
179,r/Plumbing,9
180,r/4chan,7
181,r/grandorder,12
182,r/offmychest,0
185,r/aww,1
186,r/EscapefromTarkov,12
190,r/conspiracy,12
192,r/ImTheMainCharacter,12
199,r/CharacterAI,5
200,r/DeepRockGalactic,12
201,r/gtaonline,7
202,r/whatisthisthing,0
204,r/CPS,12
205,r/CompetitiveTFT,12
210,r/BaldursGate3,12
213,r/Frugal,9
214,r/books,7
215,r/TeamfightTactics,12
216,r/CrusaderKings,12
222,r/OshiNoKo,12
223,r/PS5,7
227,r/legal,4
228,r/ThatsInsane,3
233,r/Gunners,12
235,r/Asmongold,12
236,r/coolguides,12
237,r/xqcow,12
241,r/geography,6
242,r/cars,12
243,r/Roms,12
244,r/reddevils,12
245,r/3Dprinting,5
246,r/vancouver,6
247,r/CryptoCurrency,5
248,r/MMA,9
249,r/APStudents,10
251,r/Conservative,10
253,r/runescape,12
255,r/hoi4,12
260,r/Stellaris,12
262,r/BattleBitRemastered,12
264,r/TOTK,12
267,r/eu4,12
268,r/firstimpression,12
269,r/Justrolledintotheshop,12
271,r/LeopardsAteMyFace,12
274,r/ufc,10
275,r/awfuleverything,2
276,r/CitiesSkylines,12
277,r/starterpacks,12
279,r/ContagiousLaughter,12
282,r/ich_iel,12
284,r/selfhosted,5
285,r/ksi,12
288,r/FinalFantasy,7
290,r/KGBTR,12
292,r/FortNiteBR,7
293,r/MechanicalKeyboards,5
294,r/cursedcomments,1
295,r/horror,7
296,r/40kLore,12
299,r/reddeadredemption,7
302,r/changemyview,12
306,r/starcitizen,12
307,r/arknights,12
308,r/ValorantCompetitive,12
309,r/valheim,12
310,r/battlestations,12
311,r/TwoSentenceHorror,12
312,r/recruitinghell,12
314,r/whenthe,12
315,r/truerateme,0
317,r/loseit,12
318,r/apexlegends,12
325,r/Wellthatsucks,2
329,r/lgbt,10
332,r/boxoffice,12
336,r/IAmA,10
337,r/chelseafc,12
338,r/fuckcars,12
342,r/CrackSupport,12
344,r/SkincareAddiction,9
345,r/selfie,10
346,r/KimetsuNoYaiba,7
349,r/ChoosingBeggars,12
351,r/ADHD,12
352,r/ChainsawMan,7
353,r/blender,5
355,r/london,6
358,r/Fallout,7
359,r/headphones,5
360,r/ontario,6
362,r/Gundam,7
365,r/Breath_of_the_Wild,7
366,r/sanfrancisco,6
368,r/IASIP,12
369,r/rupaulsdragrace,7
371,r/premed,4
372,r/Monitors,5
373,r/MouseReview,5
374,r/RealEstate,4
377,r/arbeitsleben,6
378,r/whatisthisbug,0
379,r/TalesFromYourServer,5
380,r/AmITheDevil,0
381,r/iphone,5
382,r/Romania,6
383,r/TheSilphRoad,12
384,r/LiverpoolFC,6
387,r/GooglePixel,5
389,r/Cricket,9
390,r/CasualConversation,9
391,r/TeslaModel3,5
393,r/Polska,12
394,r/stocks,4
395,r/csMajors,10
396,r/NikkeMobile,5
398,r/roblox,7
399,r/toronto,6
400,r/portugal,6
401,r/Parenting,10
404,r/Tools,5
405,r/bjj,9
407,r/titanic,7
408,r/newzealand,6
409,r/Naruto,7
410,r/BollyBlindsNGossip,12
413,r/destiny2,12
414,r/Finanzen,12
416,r/Art,9
417,r/SipsTea,12
419,r/Watches,12
420,r/Entrepreneur,4
421,r/Teachers,10
423,r/factorio,12
424,r/HumansBeingBros,10
425,r/hiphopheads,12
428,r/lego,11
429,r/confessions,0
430,r/amiwrong,0
432,r/Celebhub,12
433,r/fivenightsatfreddys,7
435,r/confession,0
436,r/biology,4
438,r/halo,7
439,r/MagicArena,7
441,r/simracing,7
442,r/motorcycles,12
443,r/HuntShowdown,12
446,r/redscarepod,12
447,r/Windows10,5
448,r/Denmark,6
453,r/hungary,6
454,r/bayarea,6
455,r/cycling,9
457,r/h3h3productions,12
459,r/LoveIslandTV,7
460,r/assassinscreed,7
461,r/unrealengine,5
462,r/dating,10
463,r/Unity3D,5
464,r/SuccessionTV,7
468,r/Rainbow6,12
472,r/ShitPostCrusaders,12
474,r/Adulting,9
475,r/whatisthiscar,0
477,r/rareinsults,12
478,r/IAmTheMainCharacter,12
479,r/clevercomebacks,1
480,r/PleX,12
481,r/JRPG,12
482,r/mexico,6
484,r/boston,6
485,r/mycology,4
487,r/TwoBestFriendsPlay,12
493,r/youtube,11
494,r/yugioh,7
495,r/DC_Cinematic,7
496,r/tf2,12
497,r/NewGreentexts,12
498,r/Accounting,4
499,r/MMORPG,7
500,r/DIY,4
503,r/iamatotalpieceofshit,0
505,r/investing,4
506,r/trees,4
508,r/ironscape,7
510,r/NoFap,10
513,r/EDH,12
514,r/tressless,12
515,r/tjournal_refugees,12
517,r/JEENEETards,12
518,r/fo76,12
519,r/singularity,12
520,r/HFY,12
523,r/Berserk,12
526,r/JoeRogan,10
527,r/bleach,7
529,r/Fantasy,12
530,r/OculusQuest,5
531,r/PhotoshopRequest,5
532,r/YouShouldKnow,12
533,r/nonononoyes,12
534,r/EpicSeven,12
535,r/atheism,4
536,r/PERSoNA,12
537,r/ShitAmericansSay,6
541,r/Residency,12
544,r/AzureLane,7
545,r/Pathfinder_Kingmaker,12
546,r/LateStageCapitalism,12
547,r/Austin,6
548,r/SaintMeghanMarkle,10
549,r/fo4,12
550,r/privacy,12
551,r/delta,12
552,r/Sneakers,12
553,r/MonsterHunter,7
554,r/btd6,12
555,r/RocketLeague,12
556,r/rpg,7
557,r/whowouldwin,12
558,r/Bitcoin,5
562,r/BinIchDasArschloch,5
563,r/torontoraptors,10
564,r/Pathfinder2e,12
565,r/trashy,12
566,r/Calgary,6
567,r/FiftyFifty,7
568,r/Turkey,6
575,r/TheLastAirbender,7
576,r/popheads,12
577,r/Pandabuy,12
579,r/NoahGetTheBoat,12
583,r/BokuNoHeroAcademia,7
584,r/MtF,12
586,r/manhwa,7
587,r/teslamotors,5
588,r/mtg,7
591,r/Celebs,10
592,r/LinkedInLunatics,4
593,r/sydney,6
594,r/TattooDesigns,9
595,r/CreditCards,4
596,r/LocalLLaMA,5
599,r/paydaytheheist,7
601,r/darksouls3,7
602,r/Guitar,9
603,r/Austria,6
606,r/ottawa,6
609,r/audiophile,9
610,r/Jujutsushi,12
611,r/whatcarshouldIbuy,0
613,r/BlueArchive,12
614,r/ClashRoyale,12
615,r/elderscrollsonline,7
616,r/masterduel,7
617,r/oddlyspecific,1
618,r/CFB,12
619,r/7daystodie,12
620,r/poland,6
621,r/ROGAlly,12
622,r/BBBY,11
623,r/furry_irl,10
625,r/Persona5,12
627,r/csgo,12
628,r/lakers,10
629,r/electricvehicles,5
631,r/TrashTaste,12
632,r/washingtondc,6
633,r/Drumkits,9
634,r/Edmonton,6
635,r/TheMajorityReport,12
637,r/WinStupidPrizes,12
638,r/aviation,4
639,r/MortalKombat,7
640,r/LosAngeles,6
642,r/Mcat,4
644,r/intel,11
646,r/nosleep,9
647,r/30PlusSkinCare,9
648,r/college,4
650,r/ultrawidemasterrace,12
652,r/chicago,6
654,r/Repsneakers,12
655,r/yuzu,12
656,r/coys,12
657,r/Windows11,5
658,r/EulaMains,12
659,r/residentevil,7
660,r/Truckers,10
661,r/ARK,12
662,r/serbia,6
663,r/moreplatesmoredates,12
664,r/namenerds,12
665,r/rolex,11
666,r/197,12
667,r/malaysia,6
668,r/CoDCompetitive,7
669,r/running,9
670,r/BravoRealHousewives,7
672,r/blankies,12
673,r/FalloutMods,7
676,r/wohnen,12
677,r/childfree,10
679,r/daddit,12
680,r/playstation,5
681,r/korea,6
